Labels;index;Kingdom;Phylum;Class;Order;Family;Genus;Species;Groupe
Abiotrophia;ASV32;Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva;2
Achromobacter;ASV223;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;;1
Actinobacillus;ASV1468;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;;2
Actinomyces;ASV74;Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii;1
Aggregatibacter;ASV1101;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;aphrophilus;2
Alloprevotella;ASV1029;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;;2
Atopobium;ASV1104;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;parvulum;1
Bergeyella;ASV1057;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Bergeyella;;2
Bifidobacterium;ASV1591;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;dentium;1
Burkholderia-Caballeronia-Paraburkholderia;ASV122;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;;2
Butyrivibrio;ASV690;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;;2
Campylobacter;ASV1044;Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;showae;2
Capnocytophaga;ASV1013;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis;2
Cardiobacterium;ASV1167;Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;hominis;2
Catonella;ASV1192;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Catonella;morbi;2
Centipeda;ASV1098;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Centipeda;;2
Conchiformibius;ASV1059;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Conchiformibius;;2
Corynebacterium;ASV1164;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;durum;1
Dialister;ASV1497;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;;2
